day,pax,lunch_slot_1,lunch_slot_2,dinner_slot_1,dinner_slot_2,notes
Monday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Monday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Tuesday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Tuesday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Wednesday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Wednesday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Thursday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Thursday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Friday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Friday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Saturday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Saturday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Sunday,2+1,Flexible,Take till last entry,Flexible,Take till last entry,
Sunday,3 & Above,Flexible,Take till last entry,Flexible,Take till last entry,
Special,All,,,,2nd Oct outlet closed for Gandhi Jayanthi. Suggest nearby location.
